Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is the law free of legal provisions that require a married woman to obey her husband?,"A Score Of 1 Is Assigned If There Is No Provision Requiring A Married Woman To Obey Her Husband. A Score Of 0 Is Assigned If There Is An Explicit Provision Stating That A Married Woman Must Obey Her Husband, Or If Disobedience Of A Husband Has Legal Ramifications For His Wife, Such As Loss Of Her Right To Maintenance.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is the mandatory retirement age for men and women the same?,"A Score Of 1 Is Assigned If The Legally Established Age At Which Men And Women Must Retire Is The Same, Or If There Is No Mandatory Retirement Age. A Score Of 0 Is Assigned If The Age At Which Men And Women Must Retire Is Different.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is there legislation on sexual harassment in employment?,"A Score Of 1 Is Assigned If Legal Provisions Specifically Protect Against Sexual Harassment In Employment, Including Unwelcome Verbal Or Physical Conduct Of A Sexual Nature. A Score Of 0 Is Assigned If There Is No Such Legislation. A Score Of 0 Is Also Assigned If The Law Addresses Harassment In General But Makes No Reference To Acts Of A Sexual Nature Or Contact, Or If It States Only That The Employer Has A Duty To Prevent Sexual Harassment But No Provisions Prohibit It Or Provide Sanctions Or Other Forms Of Redress.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is there legislation specifically addressing domestic violence?,"A Score Of 1 Is Assigned If There Is Legislation Addressing Domestic Violence That Includes Criminal Sanctions Or Provides For Protection Orders For Domestic Violence. A Score Of 0 Is Assigned If There Is No Legislation Addressing Domestic Violence, If The Domestic Violence Legislation Does Not Provide For Sanctions Or Protection Orders, Or If Only A Specific Category Of Women Or Family Member Is Protected. A Score Of 0 Is Also Assigned If There Is Only A Provision That Increases Penalties For General Crimes Covered In The Criminal Code If Committed Between Spouses Or Within The Family.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Community Development
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is there paid leave available to fathers?,"A Score Of 1 Is Assigned If Fathers Are Legally Entitled To At Least One Day Of Paid Paternity Leave For The Birth Of A Child, Or If The Law Reserves A Portion Of Paid Parental Leave Specifically For Fathers—That Is, Through “Use-It-Or-Lose-It” Policies Or Fathers’ Quotas. A Score Of 1 Is Also Assigned If Fathers Are Individually Entitled To Paid Parental Leave. A Score Of 0 Is Assigned If The Law Does Not Guarantee Fathers Any Paid Paternity Leave Or Other Specific Leave For The Birth Of A Child. A Score Of 0 Is Also Assigned If Allowances For The Birth Of A Child Must Be Deducted From Annual Or Sick Leave.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is there paid parental leave?,"A Score Of 1 Is Assigned If Parents Are Legally Entitled To Some Form Of Full-Time Paid Parental Leave, Either Shared Between Mother And Father Or As An Individual Entitlement That Each Can Take Regardless Of The Other. A Score Of 0 Is Assigned If The Law Does Not Mandate Any Form Of Paid Parental Leave.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the government administer 100% of maternity leave benefits?,"A Score Of 1 Is Assigned If Leave Benefits Are Fully Administered By A Government Entity, Including Compulsory Social Insurance Schemes (Such As Social Security), Public Funds, Government-Mandated Private Insurance, Or Employer Reimbursement Of Any Maternity Leave Benefits Paid Directly To An Employee. A Score Of 0 Is Assigned If Any Of The Cost Is Shared By The Employer. A Score Of 0 Is Also Assigned If Contributions Or Taxes Are Mandated Only For Female Employees, If The Social Insurance Scheme That Provides Maternity Leave Benefits Is Optional, Or If No Paid Leave Is Available To Expectant And New Mothers.",98,100,-,0,Legislation,World Bank,Yes,Multiple Countries,Multiple Countries,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does a woman have the same rights to remarry as a man?,"A Score Of 1 Is Assigned If Women And Men Have Equal Rights To Remarry. A Score Of 0 Is Assigned If Provisions Limit A Woman’S Right To Remarry, Such As Requiring A Waiting Period Before Remarriage To Which A Man Is Not Subject. A Score Of 0 Is Also Assigned If Divorce Is Legally Prohibited.",124,123,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is paid leave of at least 14 weeks available to mothers?,"A Score Of 1 Is Assigned If Mothers Are Legally Entitled To At Least 14 Weeks (98 Calendar Days) Of Paid Leave For The Birth Of A Child Through Maternity Leave, Parental Leave, Or A Combination Of Both. A Score Of 0 Is Assigned If The Law Does Not Establish Paid Leave For Mothers, Or If The Length Of Paid Leave Is Less Than 14 Weeks.",124,119,-,0,Legislation,World Bank,Yes,Multiple Countries,Multiple Countries,Multiple Countries,Oman,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the law provide for the valuation of nonmonetary contributions?,"Nonmonetary Contributions Include Caring For Minor Children, Taking Care Of The Family Home, Or Any Other Nonmonetized Contribution From A Stay-At-Home Spouse. A Score Of 1 Is Assigned If There Is An Explicit Legal Recognition Of Such Contributions And The Law Provides For Equal Or Equitable Division Of The Property Or The Transfer Of A Lump Sum To The Stay-At-Home Spouse Based On Nonmonetary Contributions. A Score Of 1 Is Also Assigned If The Default Marital Property Regime Is Full Community, Partial Community, Or Deferred Community Of Property Because These Regimes Implicitly Recognize Nonmonetary Contributions At The Time Of Property Division And Benefit Both Spouses Regardless Of Who Purchased The Property Or Holds Title To It. A Score Of 0 Is Assigned If The Default Marital Property Regime Is Not Full Or Partial Community Or Deferred Full Or Partial Community, And There Is No Explicit Legal Provision Providing For Equal Or Equitable Division Of Property Based On Nonmonetary Contributions.",135,134,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Can a woman obtain a judgment of divorce in the same way as a man?,"A Score Of 1 Is Assigned If The Process To Obtain A Judgment Of Divorce Is Equal For Women And Men Or Provides Additional Protections For Women, Such As Prohibiting A Husband From Initiating Divorce Proceedings While His Wife Is Pregnant. A Score Of 0 Is Assigned If There Are Procedural Or Evidentiary Differences For Women, If Only Men Can Initiate Divorce Proceedings, Or If Divorce Is Legally Prohibited.",146,145,-,0,Legislation,World Bank,Yes,Multiple Countries,Tunisia,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Do male and female surviving spouses have equal rights to inherit assets?,A Score Of 1 Is Assigned If Surviving Spouses Of Either Gender With No Living Children Have The Same Inheritance Rights. A Score Of 0 Is Assigned If There Are Gender-Based Differences In The Inheritance Rights Of Surviving Spouses With No Living Children.,148,148,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Do sons and daughters have equal rights to inherit assets from their parents?,A Score Of 1 Is Assigned If Sons And Daughters Have The Same Rights To Inherit Assets From Their Parents. A Score Of 0 Is Assigned If There Are Gender-Based Differences In The Recognition Of Children As Heirs To Property.,150,150,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
Future Readiness Economic Index,Descartes Institute,United Arab Emirates,2023,Latest,Gender parity in internet usage,Gender Parity In Internet Use Refers To The Ratio Of Female Internet Users To Male Internet Users. Possible Values Range From 0 (total Inequality) To 1 (perfect Equality). The Parity Index Is Adjusted According To The Methodology Of Unesco.,1,-,1,100,Data,"International Telecommunication Union (itu), World Telecommunication/ict Indicators Database, August 2022 (https:// Www.itu.int/itu-D/sites/statistics/)",No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,South Africa,Gender Balance,Gender Balance Council,Not Available
Future Readiness Economic Index,Descartes Institute,United Arab Emirates,2023,Latest,Gender parity in R&D,Gender Parity In R&d Refers To The Ratio Of Female R&d Personnel To Male R&d Personnel. The Values Reflect The Number Of Employed Individuals Involved In Intra-Mural R&d On Either A Full-Time Or A Part-Time Basis. Possible Values Range From 0 (total Inequality) To 1 (perfect Equality). The Parity Index Is Adjusted Following The Methodology Of Unesco,66,-,0.506,44.59,Data,"United Nations Education, Scientific And Cultural Organization (unesco) Future Readiness Economic Index 2023 Institute For Statistics, Uis.stat (http://data. Uis.unesco.org/)",Yes,Mongolia,Lebanon,Lebanon,Qatar,Mexico,Gender Balance,Gender Balance Council,Not Available
Future Readiness Economic Index,Descartes Institute,United Arab Emirates,2023,Latest,Gender parity in high-skilled jobs,"Gender Parity In High-Skilled Jobs Refers To The Ratio Of Female Managers, Professionals, Or Technicians And Associate Professionals To Those Who Are Male. Possible Values Range From 0 (total Inequality) To 1 (perfect Equality). The Parity Index Is Adjusted Following The Methodology Of Unesco. The Occupations Correspond To Skill Levels 3 And 4 (high) In The International Standard Classification Of Occupations 2008 (isco-08).",113,-,0.384,20.16,Data,"International Labour Organization, Ilostat (https://ilostat.ilo.org/)",Yes,Greece,Oman,Oman,Oman,Germany,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2023,-,Leadership Opportunities For Women,"Average Answer To The Question: In Your Country, To What Extent Do Companies Provide Women With The Same Opportunities As Men To Rise To Positions Of Leadership? [1 = Not At All; 7 = To A Great Extent]",12,8,5.62,75.11,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Egypt,Egypt,United Arab Emirates,Saudi Arabia,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2023,-,Economic Empowerment Of Women,"The Women, Business And The Law Index Is A Composite Indicator That Provides A Measure Of The Degree Of Gender Equality With Respect To Legal Rights In Economic Participation. The Index Is Composed Of Eight Pillars, Where Each Pillar Represents A Different Aspect Of A Woman’S Life: (1) Mobility, (2) Workplace, (3) Pay, (4) Marriage, (5) Parenthood, (6) Entrepreneurship, (7) Assets, And (8) Pension. The Index Is Measured On A Scale Of 0 (Women Have No Legal Economic Rights Equal To Those Of Men) To 100 (Women And Men Have Equal Economic Opportunities).",69,68,82.5,75.22,Index,"World Bank (2023). Women, Business and the Law 2023.Washington, DC: World Bank. (https:/wbl.worldbank.org/en/wbl)",Yes,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Not Available
